gender,age,nationality,childhoodIn,religion,married,kids,education,party
female,30 to 44,german,germany,romeCatholic,no,no,university,SPD
female,45 to 59,german,germany,romeCatholic,yes,yes,middle,SPD
female,25 to 29,german,germany,protestant,no,no,university,SPD
male,45 to 59,german,germany,romeCatholic,no,yes,middle,SPD
female,30 to 44,german,germany,romeCatholic,no,yes,middle,SPD
male,30 to 44,other,turkey,muslim,yes,yes,primary,SPD
female,45 to 59,german,germany,noReligion,yes,no,abitur,SPD
female,70 to und,german,germany,romeCatholic,yes,yes,primary,SPD
female,30 to 44,german,germany,protestant,no,no,university,SPD
female,65 to 69,german,germany,romeCatholic,no,yes,primary,SPD
male,70 to und,german,germany,romeCatholic,yes,yes,primary,SPD
female,30 to 44,german,germany,romeCatholic,yes,no,university,SPD
male,60 to 64,german,germany,noReligion,yes,yes,primary,SPD
female,70 to und,german,germany,protestant,yes,yes,middle,SPD
male,65 to 69,german,germany,romeCatholic,yes,yes,primary,SPD
male,45 to 59,german,germany,noReligion,yes,yes,primary,SPD
female,30 to 44,german,germany,noReligion,no,no,middle,SPD
male,70 to und,german,germany,romeCatholic,no,yes,non,SPD
female,30 to 44,german,germany,protestant,no,yes,primary,SPD
female,25 to 29,german,germany,protestant,no,no,highSchool,SPD
male,60 to 64,german,germany,protestant,yes,yes,university,SPD
male,30 to 44,german,germany,romeCatholic,no,no,abitur,SPD
female,60 to 64,german,germany,romeCatholic,no,no,middle,SPD
female,under 20,german,germany,romeCatholic,no,no,abitur,SPD
male,65 to 69,german,germany,romeCatholic,yes,yes,university,SPD
female,45 to 59,other,other,romeCatholic,yes,yes,abitur,SPD
