gender,age,nationality,childhoodIn,religion,married,kids,education,party
male,30 to 44,german,germany,romeCatholic,no,no,university,SPD
female,25 to 29,german,germany,romeCatholic,no,no,university,SPD
male,30 to 44,german,germany,noReligion,no,no,university,SPD
male,30 to 44,other,other,noReligion,no,no,university,SPD
female,70 to und,german,germany,romeCatholic,no,yes,middle,SPD
female,25 to 29,german,germany,protestant,no,no,university,SPD
male,65 to 69,german,germany,protestant,yes,no,highSchool,SPD
male,30 to 44,german,germany,romeCatholic,yes,no,middle,SPD
male,under 20,german,germany,romeCatholic,no,no,highSchool,SPD
female,30 to 44,german,germany,protestant,no,yes,highSchool,SPD
female,21 to 24,german,germany,romeCatholic,no,no,abitur,SPD
male,21 to 24,german,germany,protestant,no,no,middle,SPD
female,70 to und,german,germany,romeCatholic,yes,yes,middle,SPD
male,60 to 64,german,germany,romeCatholic,yes,yes,primary,SPD
male,45 to 59,german,germany,romeCatholic,yes,yes,university,SPD
female,45 to 59,german,germany,romeCatholic,no,no,university,SPD
male,60 to 64,german,germany,romeCatholic,yes,no,middle,SPD
female,25 to 29,german,germany,romeCatholic,yes,yes,highSchool,SPD
female,70 to und,german,germany,romeCatholic,no,no,university,SPD
female,21 to 24,german,germany,protestant,no,no,abitur,SPD
female,under 20,german,germany,romeCatholic,no,no,middle,SPD
female,45 to 59,german,germany,noReligion,yes,yes,middle,SPD
female,21 to 24,german,germany,noReligion,no,no,abitur,SPD
female,30 to 44,other,turkey,muslim,yes,no,middle,SPD
female,under 20,german,germany,muslim,no,no,highSchool,SPD
female,30 to 44,german,germany,romeCatholic,yes,yes,abitur,SPD
female,21 to 24,german,germany,romeCatholic,no,no,university,SPD
male,65 to 69,german,germany,protestant,yes,yes,primary,SPD
female,65 to 69,german,germany,romeCatholic,no,no,middle,SPD
male,30 to 44,german,germany,protestant,yes,yes,middle,SPD
female,45 to 59,german,germany,noReligion,yes,no,university,SPD
male,45 to 59,german,germany,romeCatholic,no,no,highSchool,SPD
female,21 to 24,german,other,romeCatholic,no,no,abitur,SPD
male,45 to 59,german,other,noReligion,yes,yes,middle,SPD
female,under 20,other,other,jewish,no,no,abitur,SPD
male,65 to 69,german,germany,protestant,yes,yes,university,SPD
